,V1,V2
observatoire,1.445168,1.9105468
supérieur,1.6823833,0.7080624
maître,1.3655668,1.5092801
centaine,1.3492911,0.8843623
drame,1.5659732,0.91059095
quarantaine,1.4310584,1.5774938
benjamin,1.6004981,1.0214297
déconfinement,0.9668294,0.8976555
burkina,1.4329118,0.80202085
jérôme,1.0814853,1.6502821
bordeaux,1.8535029,1.3746692
concours,1.4649984,1.5640901
instagram,1.9601644,1.750579
efficace,1.3019916,0.86422217
asie,1.321056,1.2918983
lci,1.5710844,1.5003352
max,1.4707817,0.9175488
unité,1.1178931,1.3729671
commandement,1.3865495,1.3608153
gendarmerie,1.5650303,1.5242761
signe,1.4335799,1.5691724
dirigeant,1.128182,1.8614318
sahara,1.6958402,1.45136
téléphone,1.7210585,1.7886425
blé,1.7748698,1.1020693
financier,1.4443145,0.91634476
route,1.8320124,0.9037707
fils,1.889023,1.1646892
marocain,1.6112251,0.8549254
produit,1.2596475,1.1009499
classement,1.0680277,1.2757965
participation,1.2306294,1.1136885
libanais,1.2608758,1.1812667
mot,1.5575237,1.538394
lille,1.6093,1.4818364
industrie,1.1398419,1.629716
commandant,1.2690893,1.4191034
thomas,1.5337178,1.9579519
table,1.5850841,1.563674
hauteur,1.5182817,0.9131425
ferme,1.6626037,0.83242905
moyenne,1.6879178,1.2746669
maréchal,1.1203629,0.9886124
républicain,1.5436862,1.4392061
chercheur,1.5428269,0.8463977
bataille,1.8012409,0.8512211
arbre,2.013646,1.3007644
corruption,1.8500558,0.87936896
suspension,1.6306963,0.84269243
voile,1.1770692,0.96505433
congrès,1.2575291,1.0522587
religion,1.2765318,1.0242776
blanquer,1.6889719,1.4038998
extérieur,1.3924918,1.5917348
agression,1.2099737,1.2544615
minsk,1.6077492,1.5324478
poids,0.98656416,1.6303823
commande,1.7345728,1.1783527
réouverture,1.6954973,0.7503124
impossible,1.5939103,1.385285
mémoire,1.2714641,1.0848446
milliard,1.4364693,1.3075109
révolution,1.3808202,1.1551101
procureur,1.6091396,1.4874773
prêt,1.4914308,0.8144076
seuil,1.8471137,1.1611506
course,1.4193769,1.1766875
harcèlement,1.403121,1.4085512
etat,1.2391682,1.0015961
tiers,0.97412014,1.3299798
raciste,1.8648213,1.4236058
aérien,1.3645164,1.2305443
rt,1.3486533,0.52541083
spoutnik,1.5664506,0.5281253
cathédrale,1.5903759,1.6292508
positif,1.6745036,1.4935752
lumière,1.785569,1.5572776
attal,1.4958916,1.4106662
в,1.7840061,2.4086359
hebdo,1.8034608,1.4599441
événement,1.7147976,1.443926
défilé,1.5365455,1.0071182
modèle,1.9389365,1.3670369
mauvais,1.5462096,1.132233
islamiste,1.5130522,1.0078617
regard,1.6159928,1.4670435
soviétique,1.4152132,1.3301835
climat,1.6528969,1.0680648
printemps,1.8292637,0.74802464
écologiste,0.79372317,1.395824
provenance,1.5924175,0.83509743
délinquance,1.3240923,1.5257698
stade,1.071637,0.9733263
rentrée,1.0983337,0.9430276
appareil,1.6129333,1.8347187
scénario,1.7407963,1.279142
xavier,1.4350995,1.6852212
champ,1.7736267,1.5510342
capable,1.583903,0.74712306
régiment,1.7853794,1.4964541
construction,1.7840288,1.2665316
